candidate_id,objective,success_rate,avg_cost,avg_time,avg_science,avg_runtime,w_science,w_explore,w_battery,w_obstacle,w_path,w_recovery,best_objective_so_far,best_objective_success_rate,best_objective_avg_science,best_success_rate_so_far,best_success_objective,best_success_avg_science,best_success_w_science,best_success_w_explore,best_success_w_battery,best_success_w_obstacle,best_success_w_path,best_success_w_recovery
40,-936.7798670403959,0.9333333333333333,310.89285714285717,3.905357142857143,5.821428571428571,3.9546218300160643,18.809171687058285,9.539285770025874,9.15715746318244,142.5396750638611,0.30913233057734857,27.849556877631763,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
41,-1007.9335502833422,1.0,320.8,4.035,5.166666666666667,1.5236232766648754,8.563682966346287,9.666548190436696,9.639837773183602,263.25236386684,5.888977841391714,11.552931858057757,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
42,-1027.3346273666186,1.0,303.1,3.808333333333333,6.933333333333334,1.5760745266762872,17.022733430337137,3.1692200515627764,1.7779781921923157,189.20031561458754,18.72309548321562,20.88089390024919,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
43,-1006.9282473499352,1.0,321.46666666666664,4.058333333333334,5.1,1.5733505300129764,11.401223401787298,0.9717649377076854,6.18857154432178,297.51346252606584,2.8016803047304806,15.549889570912102,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
44,-979.0683184098938,0.9666666666666667,360.62068965517244,4.591379310344828,6.827586206896552,3.0441524099752617,17.547461438559107,7.407686177542044,7.000455835853153,225.6210209967773,7.189823024395103,8.807755327934801,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
45,-1013.5391140999575,1.0,322.73333333333335,4.071666666666667,5.866666666666666,1.7565105133418304,16.187223109570272,8.101133946791808,8.684015953943026,278.31013813911784,10.226847977218757,15.045488840615988,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
46,-979.4336103408236,0.9666666666666667,317.6551724137931,3.9999999999999996,6.586206896551724,3.465921609996197,15.965903579335503,6.4996393077776515,7.049472084851263,248.94816735902526,17.800106836351326,10.139854705546075,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
47,-968.3165231868401,0.9666666666666667,315.0,3.9551724137931035,5.206896551724138,2.992787316654964,7.51165905279888,0.93981939840869,5.824973395862123,58.98556844918552,9.311960362649202,16.2793390412273,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
48,-982.4398819803841,0.9666666666666667,309.3103448275862,3.886206896551724,6.517241379310345,2.9163914200151337,5.730825042565688,5.9083326056901075,0.4019524743965893,59.337047187303604,16.452011213193167,10.805719242337886,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
49,-907.6339145238036,0.9333333333333333,359.7857142857143,4.510714285714285,3.857142857142857,4.756312333334548,2.5412102530376957,5.222432600548044,7.722936175676248,103.95525687421079,12.457809516380005,2.56042394981304,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
50,-984.78303528332,1.0,317.9,3.9949999999999997,2.8333333333333335,1.5530596100026741,1.033634423372154,5.31354631568148,5.452287703940055,209.35747537455163,14.52182667445323,29.27556238387604,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
51,-934.3541947809647,0.9333333333333333,315.07142857142856,3.951785714285714,5.928571428571429,4.561184853330875,10.326006966023906,3.2295647294124596,7.972343328210166,117.70806281551856,8.779428414112722,2.353691440267979,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
52,-902.1235555023482,0.9333333333333333,355.39285714285717,4.4678571428571425,3.2142857142857144,4.669098423339892,0.5070148683091502,9.626484146779251,8.376203193070838,223.9935515234245,8.179058888285397,5.1988296021253735,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
53,-965.3818126212442,0.9666666666666667,316.44827586206895,3.974137931034483,4.862068965517241,2.8573156366706827,3.128740853421721,2.502428981645953,5.537343980590593,228.6489806750156,13.203947534354626,8.398016908378285,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
54,-1027.0651690833674,1.0,304.9,3.828333333333333,7.0,1.7232995166598508,19.09730561326388,7.378969166957685,5.588105119862867,202.93018655858805,8.392001248555799,7.431929685034724,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
55,-941.7379929785224,0.9333333333333333,398.57142857142856,5.075,7.928571428571429,5.18978235667649,7.119453573025232,7.578461104643691,0.2424955374345831,79.01816012672906,0.920052840435055,1.221864069569104,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
56,-1019.0156481832715,1.0,314.4,3.95,6.266666666666667,1.6522036966790135,17.109211680220145,7.036578593800237,4.7943209079645195,74.45854016275037,9.832317502336647,14.20415312341697,-1034.8202346999556,1.0,7.733333333333333,1.0,-1025.5936600666935,6.9,16.648852816008436,2.1233911067827616,1.9000671753502962,95.85112746335845,6.0848448591907545,15.742692948967136
